code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
000646,57731AN01A,წინა საბუქსირე ხუფი,Subaru,Outback,Outback 20-,Suo Lun,1,10.0,GEL
000647,86631AN00A,წყლის ავზი,Subaru,Outback,Outback 20-,Suo Lun,55,80.0,GEL
000648,84281SC000,უკანა ამრეკლი (RH),Subaru,Forester,Forester 12-18,Suo Lun,35,10.0,GEL
000649,84281SC010,უკანა ამრეკლი (LH),Subaru,Forester,Forester 12-18,Suo Lun,18,10.0,GEL
000650,91112SG222,წინა კარის მოლდინგი ტოურინგი (RH),Subaru,Forester,Forester 12-18,Suo Lun,5,150.0,GEL
000651,91112SG232,წინა კარის მოლდინგი ტურინგი (LH),Subaru,Forester,Forester 12-18,Suo Lun,1,150.0,GEL
000652,91112SG242,უკანა კარის მოლდინგი ტოურინგი (RH),Subaru,Forester,Forester 12-18,Suo Lun,6,140.0,GEL
000653,91112SG252,უკანა კარის მოლდინგი ტოურინგი (LH),Subaru,Forester,Forester 12-18,Suo Lun,1,140.0,GEL
000654,45052SG000,ჰაერის ფილტრის წინა ხუფი,Subaru,Forester,Forester 12-18,Suo Lun,3,30.0,GEL
000655,91121SJ140,ქვედა ცხაურა - Sport standart,Subaru,Forester,Forester 19-,Suo Lun,6,110.0,GEL
000656,57734SJ090,წინა ბამპერის ქვედა ტუჩი (Sport),Subaru,Forester,Forester 22-,Suo Lun,17,80.0,GEL
000657,91112XC16B,წინა კარის მოლდინგი ტოურიგნი (RH),Subaru,Ascent,Ascent 19-,Suo Lun,0,170.0,GEL
000658,91112XC17B,წინა კარის მოლდინგი ტოურინგი (LH),Subaru,Ascent,Ascent 19-,Suo Lun,0,170.0,GEL
000659,91112XC18B,უკანა კარის მოლდინგი ტოურინგი (RH),Subaru,Ascent,Ascent 19-,Suo Lun,0,160.0,GEL
000660,91112XC19B,უკანა კარის მოლდინგი ტოურიგნი (LH),Subaru,Ascent,Ascent 19-,Suo Lun,0,160.0,GEL
000661,20202FL030,წინა გიტარა (LH),Subaru,Crosstrek,Crosstrek 18-,Suo Lun,26,110.0,GEL
000662,57731-FL092,სანისლე ბუდე (LH),Subaru,Crosstrek,Crosstrek 18-,TYG,155,40.0,GEL
000663,57707FL050,წინა კრილოს სალასკა (LH),Subaru,Crosstrek,Crosstrek 18-,TYG,302,15.0,GEL
000664,57707FL040,წინა კრილოს სალასკა (RH),Subaru,Crosstrek,Crosstrek 18-,TYG,311,15.0,GEL
000665,57707SJ030,წინა კრილოს სალასკა (LH),Subaru,Forester,Forester 19-,TYG,265,17.0,GEL
000666,57707SJ020,წინა კრილოს სალასკა (RH),Subaru,Forester,Forester 19-,TYG,270,17.0,GEL
000667,57707SJ010,წინა ფარის სალასკა (LH),Subaru,Forester,Forester 19-,TYG,171,35.0,GEL
000668,57707SJ000,წინა ფარის სალასკა (RH),Subaru,Forester,Forester 19-,TYG,177,35.0,GEL
