row,is_original_text_match,code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
3031,no,003129,521110A905,წინა ბამპერის ქვედა ტუჩი,Toyota,Corolla Cross,CORLA CROS '22- USA TYPE,TYG,8,100.0,GEL
3032,no,003130,521510A905,უკანა ბამპერის მოლდინგი,Toyota,Corolla Cross,CORLA CROS '22- USA TYPE,TYG,4,135.0,GEL
3033,no,003131,521290A060,წინა ბამპერი,Toyota,Corolla Cross,CORLA CROS '22- USA TYPE,TYG,8,150.0,GEL
3034,no,003133,80A823029STL-PFM,კაპოტი,Audi,Q5,Q-5 '18-'20,TYG,10,530.0,GEL
3035,no,003137,6021030AA00ZZ,წინა კრილო (RH),Honda,Accord,ACOD '23-,TYG,8,310.0,GEL
3036,no,003138,6026030AA00ZZ,წინა კრილო (LH),Honda,Accord,ACOD '23-,TYG,9,310.0,GEL
3037,no,003139,53301F4010,კაპოტი,Toyota,CHR,CHR '18-'21,TYG,4,380.0,GEL
3038,no,003140,53801-F4010,წინა კრილო (RH),Toyota,CHR,CHR '18-'21,TYG,5,170.0,GEL
3039,no,003141,53802-F4010,წინა კრილო (LH),Toyota,CHR,CHR '18-'21,TYG,5,170.0,GEL
3040,no,003142,5330160640,კაპოტი,Lexus,GX,GX460 '10-'21,TYG,5,800.0,GEL
3041,no,003143,5220K685,წინა კრილო (LH),Mitsubishi,Outlander,OUTLNDR '16-'20,TYG,10,470.0,GEL
3042,no,003144,5220K686,წინა კრილო (RH),Mitsubishi,Outlander,OUTLNDR '16-'20,TYG,10,470.0,GEL
3043,no,003145,5XB62LXHAA,ცხაურა,Jeep,Renegade,RNEGDE '15-'18,TYG,0,,GEL
3044,no,003146,5XB63LXHAA,ცხაურა,Jeep,Renegade,RNEGDE '15-'18,TYG,0,,GEL
3045,no,003147,6VM67LXHAA,ცხაურა შუა,Jeep,Renegade,RNEGDE '19-'20,TYG,0,,GEL
3046,no,003148,5XB32XS9AA,სანისლე ბუდე (LH),Jeep,Renegade,RNEGDE (TYPE 1) '15-'18,TYG,0,,GEL
3047,no,003149,5XB28XS9AA,სანისლე ბუდე (RH),Jeep,Renegade,RNEGDE (TYPE 1) '15-'18,TYG,0,,GEL
3048,no,003150,6VP55LXHAA,სანისლე ბუდე (LH),Jeep,Renegade,RNEGDE '19-'23,TYG,0,,GEL
3049,no,003151,6VP53LXHAA,სანისლე ბუდე (RH),Jeep,Renegade,RNEGDE '19-'23,TYG,0,,GEL
3050,no,003152,68243736AF,ეკრანი,Jeep,Compass,COMPS '17-,TYG,0,,GEL
3051,no,003153,5YH56TZZAA,სანისლე ბუდე (LH),Jeep,Compass,COMPS '17-'21,TYG,0,,GEL
3052,no,003154,5YH51TZZAA,სანისლე ბუდე (RH),Jeep,Compass,COMPS '17-'21,TYG,0,,GEL
3053,no,003155,5381206210,წინა კრილო (LH),Toyota,Camry,CMRY '15-'17,TYG,0,,GEL
3054,no,003156,5381106200,წინა კრილო (RH),Toyota,Camry,CMRY '15-'17,TYG,0,,GEL
3055,no,003157,5330106160,კაპოტი,Toyota,Camry,CMRY '15-'17,TYG,0,,GEL
3056,no,003158,53112-0R120,ცხაურა,Toyota,RAV4,RAV-4 '19-(USA/JAPAN)(LE/XLE),TYG,0,,GEL
3057,no,003159,532030R050,ეკრანი (LH),Toyota,RAV4,RAV-4(NORTH AMERICA BUILT)'19-,TYG,0,,GEL
3058,no,003160,532020R050,ეკრანი (RH),Toyota,RAV4,RAV-4(NORTH AMERICA BUILT)'19-,TYG,0,,GEL
3059,no,003161,533010R050,კაპოტი,Toyota,RAV4,RAV-4 '13-'18,TYG,0,,GEL
3060,no,003162,KSD4-50-7E1A9U,ცხაურის ზედა მოლდინგი,Mazda,CX5,CX-5 '22-,TYG,4,110.0,GEL
3061,no,003169,41617475792,კაპოტის პეტლი (RH),BMW,X3,X.3.(G01)'18-/X.4.(G02)'19-'21,TYG,10,100.0,GEL
3062,no,003170,41617475791,კაპოტის პეტლი (LH),BMW,X3,X.3.(G01)'18-/X.4.(G02)'19-'21,TYG,10,100.0,GEL
3063,no,003171,41009477742,კაპოტის პეტლი (RH),BMW,X3,X.5./X.7. '19-/X.6. '20-,TYG,15,110.0,GEL
3064,no,003172,41009477741,კაპოტის პეტლი (LH),BMW,X5,X.5./X.7. '19-/X.6. '20-,TYG,15,110.0,GEL
3065,no,003173,80A823302C,კაპოტის პეტლი (RH),Audi,Q5,Q-5 '18-,TYG,10,110.0,GEL
3066,no,003174,83A823302,კაპოტის პეტლი (RH),Audi,Q3,Q-3 '19-'21,TYG,5,80.0,GEL
3067,no,003175,83A823301,კაპოტის პეტლი (LH),Audi,Q3,Q-3 '19-'21,TYG,5,80.0,GEL
3068,no,003176,4M0821106D,წინა კრილო - ალუმინი (RH),Audi,Q7,Q-7 '16-'19,TYG,5,600.0,GEL
3069,no,003177,4M0821105D,წინა კრილო - ალუმინი (LH),Audi,Q7,Q-7 '16-'19,TYG,5,600.0,GEL
3070,no,003178,8W0823302D,კაპოტის პეტლი (RH),Audi,A4,A-4/S-4'17-/A-4 ALL ROAD'17-19,TYG,5,220.0,GEL
3071,no,003179,8W0823301D,კაპოტის პეტლი (LH),Audi,A4,A-4/S-4'17-/A-4 ALL ROAD'17-19,TYG,5,220.0,GEL
3072,no,003180,DFR552410,კაპოტის პეტლი (RH),Mazda,CX30,CX.30 '20-,TYG,8,40.0,GEL
3073,no,003181,DFR552420,კაპოტის პეტლი (LH),Mazda,CX30,CX.30 '20-,TYG,8,40.0,GEL
3074,no,003182,KB7W52410,კაპოტის პეტლი (RH),Mazda,CX5,CX-5 '17-,TYG,28,50.0,GEL
3075,no,003183,KB7W52420,კაპოტის პეტლი (LH),Mazda,CX5,CX-5 '17-,TYG,28,50.0,GEL
3076,no,003184,60120TVAA00ZZ,კაპოტის პეტლი (RH),Honda,Accord,ACOD '18-'22,TYG,9,35.0,GEL
3077,no,003185,60170TVAA00ZZ,კაპოტის პეტლი (LH),Honda,Accord,ACOD '18-'22,TYG,9,35.0,GEL
3078,no,003186,6012030AA00ZZ,კაპოტის პეტლი (RH),Honda,Accord,ACOD '23-,TYG,6,80.0,GEL
3079,no,003187,6017030AA00ZZ,კაპოტის პეტლი (LH),Honda,Accord,ACOD '23-,TYG,6,80.0,GEL
3080,no,003188,60120TLAA00ZZ,კაპოტის პეტლი (RH),Honda,CRV,CRV '17-'22,TYG,10,35.0,GEL
3081,no,003189,60170TLAA00ZZ,კაპოტის პეტლი (LH),Honda,CRV,CRV '17-'22,TYG,10,35.0,GEL
3082,no,003190,601203A0A00ZZ,კაპოტის პეტლი (RH),Honda,CRV,CRV/CRV HYBRID '23-,TYG,10,60.0,GEL
3083,no,003191,601703A0A00ZZ,კაპოტის პეტლი (LH),Honda,CRV,CRV/CRV HYBRID '23-,TYG,10,60.0,GEL
3084,no,003192,53410-0E190,კაპოტის პეტლი (RH),Toyota,Highlander,HIGHLAND/HIGHLAND HYBRID '20-,TYG,10,40.0,GEL
3085,no,003193,53420-0E190,კაპოტის პეტლი (LH),Toyota,Highlander,HIGHLAND/HIGHLAND HYBRID '20-,TYG,10,40.0,GEL
3086,no,003194,534100A120,კაპოტის პეტლი (RH),Toyota,Corolla Cross,CORLA CROS '22-,TYG,2,40.0,GEL
3087,no,003195,534200A120,კაპოტის პეტლი (LH),Toyota,Corolla Cross,CORLA CROS '22-,TYG,3,40.0,GEL
3088,no,003196,53410F4010,კაპოტის პეტლი (RH),Toyota,CHR,CHR '18-,TYG,5,40.0,GEL
3089,no,003197,53420F4010,კაპოტის პეტლი (LH),Toyota,CHR,CHR '18-,TYG,5,40.0,GEL
3090,no,003198,LJ6Z-16796A,კაპოტის პეტლი (RH),Ford,Escape,ESCP/ESCP HYBRID '20-,TYG,5,35.0,GEL
3091,no,003199,LJ6Z-16797A,კაპოტის პეტლი (LH),Ford,Escape,ESCP/ESCP HYBRID '20-,TYG,5,35.0,GEL
3092,no,003200,53410-0E180,კაპოტის პეტლი (RH),Lexus,RX,RX350/350L CANADA/JAPAN'16-'22,TYG,10,35.0,GEL
3093,no,003201,53420-0E180,კაპოტის პეტლი (LH),Lexus,RX,RX350/350L CANADA/JAPAN'16-'22,TYG,10,35.0,GEL
3094,no,003202,534100E350,კაპოტის პეტლი (RH),Lexus,RX,RX SERIES '23-,TYG,10,50.0,GEL
3095,no,003203,534200E350,კაპოტის პეტლი (LH),Lexus,RX,RX SERIES '23-,TYG,10,50.0,GEL
3096,no,003204,53301-78020-PFM,კაპოტი,Lexus,NX,NX 200t/300h '15-,TYG,2,370.0,GEL
3097,no,003205,5341078030,კაპოტის პეტლი (RH),Lexus,NX,NX SERIES '15-,TYG,10,50.0,GEL
3098,no,003206,5342078030,კაპოტის პეტლი (LH),Lexus,NX,NX SERIES '15-,TYG,10,50.0,GEL
3099,no,003207,5330176901,კაპოტი (ალუმინი),Lexus,UX,UX200/UX250H '19-,TYG,10,1400.0,GEL
3100,no,003208,5341060080,კაპოტის პეტლი (RH),Lexus,GX,GX460 '10-,TYG,5,50.0,GEL
3101,no,003209,5342060070,კაპოტის პეტლი (LH),Lexus,GX,GX460 '10-,TYG,5,50.0,GEL
